time,open,high,low,close,Volume,Max,Avg,Min,ROC
2004-02-19,2386.3301,2388.01,2307.1299,2312.02,0,,,,
2004-02-20,2308.51,2330.6299,2279.9399,2311.6799,0,,,,
2004-02-23,2318.0901,2321.45,2240.9099,2245.45,0,,,,
2004-02-24,2243.3,2259.23,2215.8701,2254.6499,0,,,,
2004-02-25,2257.3601,2257.3601,2197.74,2202.3799,0,,,,
2004-02-26,2214.45,2253.3,2186.78,2192.75,0,,,,
2004-02-27,2202.72,2232.1599,2188.6499,2228.4099,0,,,,
2004-03-01,2228.6599,2294.1201,2228.6599,2290.74,0,,,,
2004-03-03,2296.8799,2305.77,2284.9199,2293.76,0,,,,
2004-03-04,2308.8401,2311.97,2269.0801,2283.98,0,,,,
2004-03-05,2288.8899,2325.8401,2287.3401,2322.8701,0,,,,
2004-03-08,2330.1699,2378.9099,2330.1699,2366.3401,0,,,,
2004-03-09,2364.79,2366.55,2315.8701,2337.6299,0,,,,
2004-03-10,2334.97,2342.6201,2310.3,2314,0,,,,
2004-03-11,2308.22,2318.4199,2269.8701,2274.8301,0,,,,
2004-03-12,2265.4099,2281.9099,2236.73,2276.48,0,,,,
2004-03-15,2291.99,2303.1299,2201.1699,2207.3999,0,,,,
2004-03-16,2207.3999,2227.96,2183,2206.5901,0,,,,
2004-03-17,2213.1299,2226.22,2199.8,2215.6699,0,,,,-4.167355818721296
2004-03-18,2219.9399,2221,2170.75,2175.8401,0,,,,-5.87623744965729
2004-03-19,2174.9099,2196.3799,2160.1799,2181.6299,0,,,,-2.842196441693198
2004-03-22,2182.77,2182.77,2125.21,2130.46,0,,,,-5.508167809113063
2004-03-23,2125.4299,2144.3601,2095.55,2128.1001,0,,,,-3.372706044038987
2004-03-24,2128.1499,2135.1299,2113.5,2131.6201,0,,,,-2.7878189488085696
2004-03-25,2134.8201,2156.1001,2134.01,2150.79,0,,,,-3.483196695545112
2004-03-26,2159.1899,2204.5801,2159.1899,2198.1599,0,,,,-4.041493141954114
2004-03-29,2188.6799,2225.8401,2186.3999,2221.03,0,,,,-3.1707763671875004
2004-03-30,2227.77,2241.5701,2215.8601,2219.6201,0,,,,-2.817883694253011
2004-03-31,2216.8501,2247.23,2209.3701,2243.6001,0,,,,-3.412588590296116
2004-04-01,2239.49,2298.2,2239.49,2295.8501,0,,,,-2.9788617451903803
2004-04-02,2302.3999,2332.0801,2285.0701,2328.76,0,,,,-0.3794398762609808
2004-04-05,2338.25,2373.77,2334,2345.3999,0,,,,1.3569533275713004
2004-04-06,2356.1499,2365.23,2320.23,2335.76,0,,,,2.6784373918737967
2004-04-07,2339.6001,2350.6101,2318.26,2333.48,0,,,,2.503865617093056
2004-04-08,2340.9399,2362.2,2326.78,2356.6599,0,,,,6.761801520422296
2004-04-12,2364.5701,2378.51,2342.8601,2351.22,0,,,,6.5544525011691075
2004-04-13,2361.8301,2401.6899,2328.8999,2396.6299,0,,,,8.167281597317364
2004-04-15,2403.6001,2416,2387.49,2395.3201,0,,,,10.087138296605527
2004-04-16,2405.4199,2425.29,2400.3401,2406.47,0,,,,10.306060620089589
2004-04-19,2419.8301,2428.8999,2369.27,2377.0801,0,,,,11.575908489246459
2004-04-20,2380.79,2384.26,2358.0701,2373.6399,0,,,,11.537981695503891
2004-04-21,2373.6899,2417.4199,2367.9099,2413.6599,0,,,,13.23124134549116
2004-04-22,2418.76,2448.4199,2418.76,2441.6699,0,,,,13.524328270077502
2004-04-23,2445.8601,2474.6001,2439.3,2446.02,0,,,,11.275799362912583
2004-04-27,2417.8999,2417.8999,2339.52,2342.3201,0,,,,5.46098431808664
2004-04-28,2340.8999,2363.1101,2321.48,2338.46,0,,,,5.3540648690287105
2004-04-29,2340.1101,2353.54,2320.73,2337.04,0,,,,4.164730604174953
2004-04-30,2339.8899,2351.6001,2312.71,2321.25,0,,,,1.1063396517046078
2004-05-03,2317.6799,2317.6799,2244.8101,2277.0701,0,,,,-2.2196319071093757
2004-05-04,2293.1399,2329.79,2293.1399,2320.1001,0,,,,-1.0786987754199093
2004-05-05,2329.45,2345.0601,2326.4199,2340.0801,0,,,,0.18495478987566835
2004-05-06,2363.3401,2382.27,2363.3401,2375.8401,0,,,,1.8153187513927642
2004-05-07,2374.3201,2374.8799,2335.9199,2343.1299,0,,,,-0.5741176314834482
2004-05-10,2328.6599,2328.6599,2281.5701,2301.05,0,,,,-2.133785864359763
2004-05-11,2270.3799,2270.3799,2191.0901,2198.6499,0,,,,-8.260766503831068
2004-05-12,2188.1299,2226.8601,2179.8601,2214.3601,0,,,,-7.554731411471897
